Chillwind Yeti|Chillwind Yeti|Darkscale Healer|Darkscale Healer|Drain Life|Drain Life|Hellfire|Hellfire|Kobold Geomancer|Kobold Geomancer|Murlock Raider|Murloc Raider|Ogre Magi|Ogre Magi|Reckless Rocketeer|Reckless Rocketeer|River Crocolisk|River Crocolisk|Shadow Bolt|Shadow Bolt|Succubus|Succubus|Voidwalker|Voidwalker|Voodoo Doctor|Voodoo Doctor|War Golem|War Golem|Wolfrider|Wolfrider|
Flame Imp|Flame Imp|Possessed Villager|Voidwalker|Voidwalker|Darkshire Councilman|Darkshire Councilman|Unwilling Sacrifice|Bane of Doom|Despicable Dreadlord|Despicable Dreadlord|Abyssal Enforcer|Bloodreaver Gul'dan|Abusive Sergeant|Acherus Veteran|Argent Squire|Argent Squire|Bloodsail Corsair|Bloodsail Corsair|Fire Fly|Fire Fly|Patches the Pirate|Prince Keleseth|Tar Creeper|Tar Creeper|Defender of Argus|Defender of Argus|Cobalt Scalebane|Sea Giant|Sea Giant|
Voidwalker|Voidwalker|Defile|Defile|Drain Soul|Drain Soul|Shadowflame|Despicable Dreadlord|Despicable Dreadlord|Siphon Soul|Siphon Soul|Abyssal Enforcer|Abyssal Enforcer|Twisting Nether|Lord Jaraxxus|Bloodreaver Gul'dan|Mistress of Mixtures|Mistress of Mixtures|Voodoo Doctor|Voodoo Doctor|Bloodmage Thalnos|Doomsayer|Doomsayer|Sunfury Protector|Sunfury Protector|Prince Taldaram|Twilight Drake|Twilight Drake|Skulking Geist|The Lich King|
Mortal Coil|Mortal Coil|Soulfire|Voidwalker|Voidwalker|Defile|Defile|Hellfire|Hellfire|Despicable Dreadlord|Despicable Dreadlord|Siphon Soul|Siphon Soul|Abyssal Enforcer|Abyssal Enforcer|Twisting Nether|Bloodreaver Gul'dan|Mistress of Mixtures|Doomsayer|Doomsayer|Tainted Zealot|Earthen Ring Farseer|Earthen Ring Farseer|Gluttonous Ooze|Faceless Shambler|Spellbreaker|Twilight Drake|Twilight Drake|Mountain Giant|Mountain Giant|
Bloodbloom|Bloodbloom|Defile|Defile|Gnomeferatu|Gnomeferatu|Renounce Darkness|Howlfiend|Howlfiend|Treachery|Treachery|Blastcrystal Potion|Blastcrystal Potion|Siphon Soul|Siphon Soul|Bloodreaver Gul'dan|Dirty Rat|Dirty Rat|Tainted Zealot|Tainted Zealot|Coldlight Oracle|Coldlight Oracle|Kabal Courier|Eater of Secrets|Eater of Secrets|Spellbreaker|Spellbreaker|Elise the Trailblazer|Nerubian Unraveler|Nerubian Unraveler|
Flame Imp|Flame Imp|Malchezaar's Imp|Malchezaar's Imp|Soulfire|Soulfire|Voidwalker|Voidwalker|Clutchmother Zavas|Darkshire Librarian|Darkshire Librarian|Demonfire|Demonfire|Succubus|Succubus|Bloodfury Potion|Bloodfury Potion|Howlfiend|Howlfiend|Silverware Golem|Silverware Golem|Crystalweaver|Crystalweaver|Lakkari Felhound|Lakkari Felhound|Doomguard|Doomguard|Fire Fly|Dire Wolf Alpha|Dire Wolf Alpha|
Flame Imp|Malchezaar's Imp|Mortal Coil|Possessed Villager|Soulfire|Voidwalker|Darkshire Councilman|Despicable Dreadlord|Doomguard|Dread Infernal|Abyssal Enforcer|Krul the Unshackled|Lord Jaraxxus|Bloodreaver Gul'dan|Abusive Sergeant|Acherus Veteran|Argent Squire|Bloodsail Corsair|Fire Fly|Glacial Shard|Mistress of Mixtures|Patches the Pirate|Prince Keleseth|Southsea Captain|Tar Creeper|Vicious Fledgling|Defender of Argus|Kazakus|Saronite Chain Gang|Bonemare|
Flame Imp|Flame Imp|Malchezaar's Imp|Malchezaar's Imp|Possessed Villager|Possessed Villager|Sanguine Reveler|Sanguine Reveler|Soulfire|Voidwalker|Voidwalker|Silverware Golem|Silverware Golem|Crystalweaver|Crystalweaver|Ravenous Pterrordax|Ravenous Pterrordax|Despicable Dreadlord|Despicable Dreadlord|Doomguard|Doomguard|Bloodreaver Gul'dan|Fire Fly|Fire Fly|Prince Keleseth|Devilsaur Egg|Devilsaur Egg|Defender of Argus|Defender of Argus|Spellbreaker|
Flame Imp|Flame Imp|Malchezaar's Imp|Malchezaar's Imp|Mortal Coil|Soulfire|Soulfire|Voidwalker|Voidwalker|Darkshire Councilman|Darkshire Councilman|Despicable Dreadlord|Despicable Dreadlord|Doomguard|Doomguard|Bloodreaver Gul'dan|Acherus Veteran|Acherus Veteran|Bloodsail Corsair|Bloodsail Corsair|Fire Fly|Fire Fly|Patches the Pirate|Prince Keleseth|Vicious Fledgling|Vicious Fledgling|Saronite Chain Gang|Saronite Chain Gang|Bonemare|Bonemare|
Mortal Coil|Mortal Coil|Voidwalker|Voidwalker|Defile|Defile|Gnomeferatu|Shadow Bolt|Shadow Bolt|Treachery|Despicable Dreadlord|Despicable Dreadlord|Siphon Soul|Siphon Soul|Abyssal Enforcer|Abyssal Enforcer|Twisting Nether|Bloodreaver Gul'dan|Mistress of Mixtures|Mistress of Mixtures|Doomsayer|Doomsayer|Gluttonous Ooze|Ironbeak Owl|Tar Creeper|Tar Creeper|Prince Valanar|Elise the Trailblazer|Skulking Geist|The Lich King|
Mortal Coil|Soulfire|Voidwalker|Defile|Drain Soul|Shadow Bolt|Hellfire|Lakkari Felhound|Despicable Dreadlord|Doomguard|Siphon Soul|Abyssal Enforcer|Twisting Nether|Krul the Unshackled|Bloodreaver Gul'dan|Mistress of Mixtures|Bloodmage Thalnos|Dirty Rat|Doomsayer|Golakka Crawler|Earthen Ring Farseer|Kabal Courier|Mind Control Tech|Stonehill Defender|Tar Creeper|Kazakus|Spellbreaker|Twilight Drake|The Lich King|Mountain Giant|
Mortal Coil|Mortal Coil|Drain Soul|Drain Soul|Shadow Bolt|Shadow Bolt|Treachery|Treachery|Ravenous Pterrordax|Ravenous Pterrordax|Siphon Soul|Siphon Soul|Mistress of Mixtures|Mistress of Mixtures|Bloodmage Thalnos|Dirty Rat|Dirty Rat|Doomsayer|Doomsayer|Loot Hoarder|Loot Hoarder|Devilsaur Egg|Devilsaur Egg|Ironbeak Owl|Ironbeak Owl|Skelemancer|Skelemancer|Bonemare|Bonemare|Alexstrasza|
Voidwalker|Voidwalker|Defile|Defile|Shadow Bolt|Blastcrystal Potion|Crystalweaver|Hellfire|Despicable Dreadlord|Despicable Dreadlord|Tar Lurker|Tar Lurker|Dread Infernal|Dread Infernal|Siphon Soul|Siphon Soul|Abyssal Enforcer|Abyssal Enforcer|Twisting Nether|Twisting Nether|Bloodreaver Gul'dan|Mistress of Mixtures|Mistress of Mixtures|Stonehill Defender|Tar Creeper|Tar Creeper|Saronite Chain Gang|Skulking Geist|Medivh, the Guardian|The Lich King|
Flame Imp|Flame Imp|Malchezaar's Imp|Malchezaar's Imp|Soulfire|Soulfire|Voidwalker|Voidwalker|Darkshire Councilman|Darkshire Councilman|Despicable Dreadlord|Despicable Dreadlord|Doomguard|Doomguard|Bloodreaver Gul'dan|Acherus Veteran|Acherus Veteran|Bloodsail Corsair|Bloodsail Corsair|Fire Fly|Fire Fly|Patches the Pirate|Prince Keleseth|Vicious Fledgling|Vicious Fledgling|Saronite Chain Gang|Saronite Chain Gang|Spellbreaker|Bonemare|Bonemare|
Mortal Coil|Power Overwhelming|Dark Peddler|Darkbomb|Imp Gang Boss|Hellfire|Imp-losion|Shadowflame|Siphon Soul|Abyssal Enforcer|Twisting Nether|Lord Jaraxxus|Mistress of Mixtures|Dirty Rat|Doomsayer|Sunfury Protector|Brann Bronzebeard|Earthen Ring Farseer|Faceless Shambler|Kazakus|Refreshment Vendor|Twilight Drake|Antique Healbot|Elise the Trailblazer|Faceless Manipulator|Leeroy Jenkins|Sludge Belcher|Emperor Thaurissan|Reno Jackson|Mountain Giant|
Corruption|Corruption|Mortal Coil|Mortal Coil|Voidwalker|Voidwalker|Bloodbloom|Bloodbloom|Corrupting Mist|Corrupting Mist|Renounce Darkness|Renounce Darkness|Drain Life|Drain Life|Shadow Bolt|Shadow Bolt|Spreading Madness|Spreading Madness|Blastcrystal Potion|Blastcrystal Potion|Hellfire|Hellfire|Bane of Doom|Bane of Doom|Feeding Time|Feeding Time|Siphon Soul|Siphon Soul|DOOM!|DOOM!|
Flame Imp|Flame Imp|Malchezaar's Imp|Malchezaar's Imp|Soulfire|Soulfire|Voidwalker|Voidwalker|Darkshire Councilman|Darkshire Councilman|Silverware Golem|Silverware Golem|Doomguard|Doomguard|Acherus Veteran|Acherus Veteran|Bloodsail Corsair|Bloodsail Corsair|Fire Fly|Fire Fly|Patches the Pirate|Dire Wolf Alpha|Dire Wolf Alpha|Fallen Sun Cleric|Fallen Sun Cleric|Knife Juggler|Knife Juggler|Eggnapper|Defender of Argus|Defender of Argus|
Flame Imp|Flame Imp|Mortal Coil|Mortal Coil|Possessed Villager|Possessed Villager|Sanguine Reveler|Sanguine Reveler|Voidwalker|Voidwalker|Darkshire Councilman|Darkshire Councilman|Void Terror|Void Terror|Crystalweaver|Crystalweaver|Ravenous Pterrordax|Ravenous Pterrordax|Doomguard|Acherus Veteran|Argent Squire|Argent Squire|Fire Fly|Fire Fly|Runic Egg|Runic Egg|Dire Wolf Alpha|Dire Wolf Alpha|Devilsaur Egg|Devilsaur Egg|
Mortal Coil|Mortal Coil|Voidwalker|Voidwalker|Curse of Rafaam|Defile|Defile|Blastcrystal Potion|Summoning Portal|Mistress of Mixtures|Runic Egg|Runic Egg|Bloodmage Thalnos|Doomsayer|Doomsayer|Knife Juggler|Loot Hoarder|Loot Hoarder|Novice Engineer|Novice Engineer|Tuskarr Fisherman|Coldlight Oracle|Coldlight Oracle|Deathspeaker|Deathspeaker|Tar Creeper|Antique Healbot|Grim Patron|Emperor Thaurissan|Necrotic Geist|
Flame Imp|Flame Imp|Malchezaar's Imp|Malchezaar's Imp|Soulfire|Voidwalker|Voidwalker|Clutchmother Zavas|Succubus|Darkshire Councilman|Darkshire Councilman|Felguard|Sense Demons|Sense Demons|Silverware Golem|Silverware Golem|Crystalweaver|Crystalweaver|Despicable Dreadlord|Despicable Dreadlord|Doomguard|Doomguard|Bloodreaver Gul'dan|Bloodsail Corsair|Bloodsail Corsair|Fire Fly|Fire Fly|Patches the Pirate|Defender of Argus|Defender of Argus|
Voidwalker|Voidwalker|Defile|Defile|Drain Soul|Gnomeferatu|Gnomeferatu|Howlfiend|Treachery|Treachery|Despicable Dreadlord|Despicable Dreadlord|Siphon Soul|Siphon Soul|Abyssal Enforcer|Abyssal Enforcer|Twisting Nether|Bloodreaver Gul'dan|Mistress of Mixtures|Mistress of Mixtures|Doomsayer|Doomsayer|Tainted Zealot|Youthful Brewmaster|Youthful Brewmaster|Coldlight Oracle|Coldlight Oracle|King Mukla|Prince Valanar|Skulking Geist|
Flame Imp|Possessed Villager|Possessed Villager|Power Overwhelming|Power Overwhelming|Voidwalker|Voidwalker|Dark Peddler|Dark Peddler|Imp Gang Boss|Imp Gang Boss|Void Terror|Ravenous Pterrordax|Ravenous Pterrordax|Voidcaller|Voidcaller|Doomguard|Doomguard|Abyssal Enforcer|Mal'Ganis|Bloodreaver Gul'dan|Abusive Sergeant|Bloodsail Corsair|Bloodsail Corsair|Patches the Pirate|Crazed Alchemist|Dire Wolf Alpha|Nerubian Egg|Nerubian Egg|Devilsaur Egg|
Flame Imp|Flame Imp|Malchezaar's Imp|Malchezaar's Imp|Soulfire|Soulfire|Voidwalker|Voidwalker|Darkshire Councilman|Darkshire Councilman|Despicable Dreadlord|Despicable Dreadlord|Doomguard|Doomguard|Bloodreaver Gul'dan|Acherus Veteran|Acherus Veteran|Bloodsail Corsair|Bloodsail Corsair|Fire Fly|Fire Fly|Patches the Pirate|Prince Keleseth|Vicious Fledgling|Vicious Fledgling|Saronite Chain Gang|Saronite Chain Gang|Spellbreaker|Bonemare|Bonemare|
Voidwalker|Darkbomb|Defile|Demonwrath|Imp Gang Boss|Shadow Bolt|Blastcrystal Potion|Hellfire|Shadowflame|Voidcaller|Despicable Dreadlord|Siphon Soul|Abyssal Enforcer|Twisting Nether|Krul the Unshackled|Mal'Ganis|Bloodreaver Gul'dan|Mistress of Mixtures|Dirty Rat|Doomsayer|Deathlord|Gluttonous Ooze|Kazakus|Piloted Shredder|Antique Healbot|Sludge Belcher|Emperor Thaurissan|Reno Jackson|Sylvanas Windrunner|N'Zoth, the Corruptor|
Voidwalker|Voidwalker|Defile|Defile|Drain Soul|Hellfire|Hellfire|Despicable Dreadlord|Despicable Dreadlord|Siphon Soul|Siphon Soul|Abyssal Enforcer|Abyssal Enforcer|Twisting Nether|Bloodreaver Gul'dan|Mistress of Mixtures|Mistress of Mixtures|Doomsayer|Earthen Ring Farseer|Earthen Ring Farseer|Tar Creeper|Tar Creeper|Faceless Shambler|Spellbreaker|Twilight Drake|Twilight Drake|Skulking Geist|Medivh, the Guardian|Mountain Giant|Mountain Giant|
Mortal Coil|Voidwalker|Defile|Demonfire|Drain Soul|Drain Life|Sense Demons|Shadow Bolt|Blastcrystal Potion|Hellfire|Despicable Dreadlord|Doomguard|Tar Lurker|Dread Infernal|Kabal Trafficker|Siphon Soul|Abyssal Enforcer|Twisting Nether|Krul the Unshackled|Bloodreaver Gul'dan|Mistress of Mixtures|Doomsayer|Earthen Ring Farseer|Mind Control Tech|Tar Creeper|Kazakus|Spellbreaker|Twilight Drake|The Lich King|Mountain Giant|
Flame Imp|Flame Imp|Sanguine Reveler|Sanguine Reveler|Voidwalker|Voidwalker|Defile|Defile|Darkshire Councilman|Darkshire Councilman|Shadow Bolt|Void Terror|Ravenous Pterrordax|Ravenous Pterrordax|Bloodsail Corsair|Bloodsail Corsair|Mistress of Mixtures|Mistress of Mixtures|Patches the Pirate|Runic Egg|Runic Egg|Deathspeaker|Deathspeaker|Devilsaur Egg|Devilsaur Egg|Defender of Argus|Defender of Argus|Twilight Summoner|Twilight Summoner|N'Zoth, the Corruptor|
Voidwalker|Voidwalker|Defile|Defile|Drain Soul|Gnomeferatu|Gnomeferatu|Despicable Dreadlord|Despicable Dreadlord|Siphon Soul|Siphon Soul|Abyssal Enforcer|Abyssal Enforcer|Twisting Nether|Twisting Nether|Bloodreaver Gul'dan|Mistress of Mixtures|Mistress of Mixtures|Dirty Rat|Dirty Rat|Doomsayer|Doomsayer|Coldlight Oracle|Coldlight Oracle|Earthen Ring Farseer|Earthen Ring Farseer|King Mukla|Prince Valanar|Skulking Geist|The Lich King|
Flame Imp|Flame Imp|Malchezaar's Imp|Malchezaar's Imp|Soulfire|Soulfire|Voidwalker|Voidwalker|Darkshire Councilman|Darkshire Councilman|Ravenous Pterrordax|Ravenous Pterrordax|Despicable Dreadlord|Despicable Dreadlord|Doomguard|Doomguard|Bloodreaver Gul'dan|Acherus Veteran|Bloodsail Corsair|Bloodsail Corsair|Patches the Pirate|Prince Keleseth|Devilsaur Egg|Devilsaur Egg|Southsea Captain|Southsea Captain|Defender of Argus|Defender of Argus|Cobalt Scalebane|Cobalt Scalebane|
Flame Imp|Mortal Coil|Voidwalker|Dark Peddler|Darkbomb|Wrathguard|Imp Gang Boss|Shadow Bolt|Blastcrystal Potion|Crystalweaver|Hellfire|Imp-losion|Shadowflame|Voidcaller|Despicable Dreadlord|Doomguard|Siphon Soul|Abyssal Enforcer|Lord Jaraxxus|Mal'Ganis|Bloodreaver Gul'dan|Brann Bronzebeard|Mind Control Tech|Kazakus|Antique Healbot|Loatheb|Sludge Belcher|Reno Jackson|Sylvanas Windrunner|Dr. Boom|
Flame Imp|Flame Imp|Malchezaar's Imp|Malchezaar's Imp|Mortal Coil|Mortal Coil|Soulfire|Soulfire|Voidwalker|Voidwalker|Darkshire Councilman|Darkshire Councilman|Ravenous Pterrordax|Ravenous Pterrordax|Doomguard|Doomguard|Acherus Veteran|Acherus Veteran|Bloodsail Corsair|Bloodsail Corsair|Patches the Pirate|Prince Keleseth|Vicious Fledgling|Vicious Fledgling|Defender of Argus|Defender of Argus|Cobalt Scalebane|Cobalt Scalebane|Bonemare|Bonemare|
Flame Imp|Flame Imp|Malchezaar's Imp|Malchezaar's Imp|Mortal Coil|Soulfire|Soulfire|Voidwalker|Voidwalker|Darkshire Councilman|Darkshire Councilman|Despicable Dreadlord|Despicable Dreadlord|Doomguard|Doomguard|Bloodreaver Gul'dan|Acherus Veteran|Bloodsail Corsair|Fire Fly|Fire Fly|Patches the Pirate|Prince Keleseth|Southsea Captain|Southsea Captain|Tar Creeper|Tar Creeper|Saronite Chain Gang|Saronite Chain Gang|Bonemare|Bonemare|
Forbidden Ritual|Forbidden Ritual|Malchezaar's Imp|Malchezaar's Imp|Possessed Villager|Voidwalker|Voidwalker|Corrupting Mist|Corrupting Mist|Darkbomb|Darkbomb|Darkshire Librarian|Darkshire Librarian|Defile|Defile|Demonfire|Demonfire|Drain Soul|Drain Soul|Mistress of Pain|Mistress of Pain|Renounce Darkness|Renounce Darkness|Darkshire Councilman|Darkshire Councilman|Blastcrystal Potion|Blastcrystal Potion|Imp-losion|Imp-losion|Prince Malchezaar|
Mortal Coil|Mortal Coil|Voidwalker|Voidwalker|Darkbomb|Defile|Defile|Drain Soul|Sense Demons|Shadow Bolt|Shadow Bolt|Blastcrystal Potion|Blastcrystal Potion|Hellfire|Hellfire|Shadowflame|Siphon Soul|Abyssal Enforcer|Twisting Nether|Twisting Nether|Lord Jaraxxus|Elven Archer|Elven Archer|Tentacle of N'Zoth|Annoy-o-Tron|Tainted Zealot|Kabal Courier|Refreshment Vendor|Refreshment Vendor|Antique Healbot|
Flame Imp|Mortal Coil|Possessed Villager|Voidwalker|Voidwalker|Darkshire Councilman|Darkshire Councilman|Despicable Dreadlord|Dread Infernal|Dread Infernal|Abyssal Enforcer|Bloodreaver Gul'dan|Acherus Veteran|Acherus Veteran|Argent Squire|Fire Fly|Fire Fly|Prince Keleseth|Ironbeak Owl|Stonehill Defender|Stonehill Defender|Tar Creeper|Tar Creeper|Vicious Fledgling|Vicious Fledgling|Eater of Secrets|Cobalt Scalebane|Cobalt Scalebane|Illidan Stormrage|Sea Giant|
Flame Imp|Flame Imp|Mortal Coil|Possessed Villager|Possessed Villager|Voidwalker|Darkshire Councilman|Darkshire Councilman|Shadow Bolt|Hellfire|Despicable Dreadlord|Despicable Dreadlord|Doomguard|Abyssal Enforcer|Elven Archer|Elven Archer|Fire Fly|Fire Fly|Prince Keleseth|Tar Creeper|Tar Creeper|Vicious Fledgling|Defender of Argus|Eater of Secrets|Saronite Chain Gang|Saronite Chain Gang|Cobalt Scalebane|Cobalt Scalebane|Bonemare|Bonemare|
Flame Imp|Flame Imp|Possessed Villager|Possessed Villager|Voidwalker|Darkshire Councilman|Darkshire Councilman|Shadow Bolt|Hellfire|Despicable Dreadlord|Despicable Dreadlord|Doomguard|Abyssal Enforcer|Argent Squire|Elven Archer|Elven Archer|Fire Fly|Fire Fly|Prince Keleseth|Tar Creeper|Tar Creeper|Vicious Fledgling|Defender of Argus|Eater of Secrets|Saronite Chain Gang|Saronite Chain Gang|Cobalt Scalebane|Cobalt Scalebane|Bonemare|Bonemare|
Voidwalker|Voidwalker|Defile|Defile|Drain Soul|Howlfiend|Treachery|Treachery|Despicable Dreadlord|Despicable Dreadlord|Siphon Soul|Siphon Soul|Abyssal Enforcer|Abyssal Enforcer|Twisting Nether|Bloodreaver Gul'dan|Doomsayer|Doomsayer|Tainted Zealot|Earthen Ring Farseer|Earthen Ring Farseer|Happy Ghoul|Happy Ghoul|Corpsetaker|Corpsetaker|Bloodworm|Bloodworm|Psych-o-Tron|Skulking Geist|The Lich King|
Voidwalker|Voidwalker|Defile|Defile|Drain Soul|Drain Soul|Hellfire|Despicable Dreadlord|Despicable Dreadlord|Siphon Soul|Siphon Soul|Abyssal Enforcer|Abyssal Enforcer|Twisting Nether|Twisting Nether|Bloodreaver Gul'dan|Mistress of Mixtures|Mistress of Mixtures|Doomsayer|Doomsayer|Earthen Ring Farseer|Earthen Ring Farseer|Happy Ghoul|Happy Ghoul|Ironbeak Owl|Twilight Drake|Twilight Drake|Skulking Geist|Medivh, the Guardian|The Lich King|
